timestamp,tps,rows_s,lat_99
70,18040.95,18040.95,6.67
80,18053.68,18053.68,87.56
90,17997.00,17997.00,5.99
100,17971.97,17971.97,6.91
110,17957.70,17957.70,5.99
120,18035.33,18035.33,5.99
130,18029.27,18029.27,6.43
140,18006.87,18006.87,6.55
150,18058.37,18058.37,7.30
160,18016.30,18016.30,5.99
170,18020.85,18020.85,6.21
180,18025.70,18025.70,6.79
190,17973.52,17973.52,6.55
200,17953.47,17953.47,7.56
210,18026.78,18026.78,6.21
220,18008.54,18008.54,5.88
230,18018.88,18018.88,6.09
240,17984.16,17984.16,5.88
250,18025.09,18025.09,6.32
260,18012.43,18012.43,5.88
270,17971.70,17971.70,5.99
280,18040.10,18040.10,5.88
290,17952.52,17952.52,6.43
300,17942.20,17942.20,5.99
310,18046.29,18046.29,7.56
320,17967.43,17967.43,6.09
330,18009.88,18009.88,5.88
340,18017.56,18017.56,6.32
350,18020.83,18020.83,6.32
360,18023.90,18023.90,6.67
