timestamp,tps,rows_s,lat_99
70,4030.47,4030.47,15.00
80,3996.10,3996.10,16.41
90,4006.10,4006.10,15.00
100,4004.70,4004.70,14.73
110,4014.10,4014.10,16.12
120,4021.43,4021.43,16.71
130,3989.00,3989.00,18.61
140,4015.87,4015.87,20.74
150,3985.61,3985.61,16.12
160,3981.20,3981.20,13.70
170,4006.80,4006.80,15.55
180,4001.51,4001.51,16.41
190,4030.49,4030.49,14.46
200,4023.02,4023.02,17.63
210,3999.30,3999.30,17.32
220,3967.17,3967.17,17.32
230,3997.80,3997.80,20.00
240,3964.69,3964.69,17.95
250,3979.20,3979.20,16.12
260,4029.71,4029.71,16.41
270,4021.82,4021.82,13.95
280,3987.39,3987.39,16.12
290,4030.38,4030.38,20.74
300,4023.50,4023.50,13.70
310,3993.30,3993.30,15.55
320,3972.90,3972.90,15.27
330,4000.43,4000.43,15.27
340,3980.57,3980.57,15.00
350,4010.82,4010.82,14.46
360,4009.98,4009.98,15.27
370,3967.43,3967.43,176.73
380,3955.10,3955.10,28.16
390,4009.60,4009.60,14.21
400,3977.18,3977.18,15.27
410,4018.10,4018.10,14.46
420,4002.40,4002.40,15.27
430,4022.30,4022.30,16.41
440,3982.50,3982.50,13.70
450,3993.60,3993.60,15.55
460,3997.80,3997.80,15.27
470,3998.49,3998.49,15.27
480,3991.42,3991.42,15.55
490,4000.90,4000.90,15.83
500,3987.90,3987.90,15.55
510,3999.90,3999.90,14.73
520,4007.01,4007.01,17.01
530,3976.52,3976.52,16.12
540,3964.57,3964.57,15.27
550,4006.79,4006.79,15.27
560,4010.21,4010.21,15.27
570,4008.00,4008.00,13.70
580,4007.79,4007.79,14.73
590,4024.51,4024.51,16.12
600,4012.59,4012.59,15.27
610,4029.41,4029.41,15.27
620,3995.70,3995.70,14.73
630,4008.43,4008.43,15.27
640,4015.48,4015.48,14.46
650,4022.49,4022.49,16.71
660,3989.34,3989.34,15.83
