timestamp,tps,rows_s,lat_99
70,17891.60,17891.60,4.25
80,18004.27,18004.27,4.33
90,17968.24,17968.24,4.33
100,18005.92,18005.92,4.57
110,18028.04,18028.04,4.65
120,17994.91,17994.91,4.18
130,18021.84,18021.84,4.25
140,18026.19,18026.19,4.33
150,17958.84,17958.84,4.25
160,17983.56,17983.56,4.25
170,17979.39,17979.39,4.74
180,18020.52,18020.52,4.65
190,17989.55,17989.55,4.33
200,17941.99,17941.99,4.18
210,17936.95,17936.95,4.03
220,17989.39,17989.39,4.41
230,17978.28,17978.28,4.33
240,18003.95,18003.95,4.49
250,17963.57,17963.57,4.25
260,18060.21,18060.21,4.18
270,18005.29,18005.29,4.25
280,18009.41,18009.41,4.41
290,18007.65,18007.65,4.25
300,17943.56,17943.56,4.49
310,18044.73,18044.73,4.65
320,17949.40,17949.40,4.25
330,18060.64,18060.64,4.57
340,18073.61,18073.61,4.74
350,17955.45,17955.45,4.49
360,17979.81,17979.81,4.82
370,17940.71,17940.71,4.65
380,18019.26,18019.26,4.33
390,18061.72,18061.72,4.57
400,18042.21,18042.21,4.49
410,18009.07,18009.07,4.33
420,18045.93,18045.93,4.49
430,17974.76,17974.76,4.41
440,18064.35,18064.35,4.74
450,17972.27,17972.27,4.18
460,17937.45,17937.45,4.25
470,17977.74,17977.74,4.25
480,17992.56,17992.56,4.03
490,18088.09,18088.09,4.18
500,17960.16,17960.16,4.25
510,18011.41,18011.41,4.25
520,17936.97,17936.97,4.18
530,18010.42,18010.42,4.33
540,17971.25,17971.25,4.25
550,18049.13,18049.13,4.18
560,18091.71,18091.71,4.33
570,18019.69,18019.69,4.33
580,18018.45,18018.45,4.74
590,18019.92,18019.92,4.49
600,18022.10,18022.10,5.47
610,17967.74,17967.74,4.74
620,17973.11,17973.11,4.57
630,17972.02,17972.02,4.41
640,18021.45,18021.45,4.57
650,18031.32,18031.32,4.25
660,17937.82,17937.82,4.57
