timestamp,tps,rows_s,lat_99
70,7621.51,7621.51,25.74
80,7580.27,7580.27,26.68
90,7666.08,7666.08,24.83
100,7640.02,7640.02,25.74
110,7439.04,7439.04,26.20
120,7223.39,7223.39,28.67
130,7365.49,7365.49,25.74
140,7248.62,7248.62,27.66
150,7660.30,7660.30,26.68
160,7372.15,7372.15,26.20
170,7161.10,7161.10,27.66
180,7525.74,7525.74,25.28
190,7210.85,7210.85,27.66
200,7382.47,7382.47,27.17
210,7068.90,7068.90,30.26
220,6979.19,6979.19,29.72
230,7471.95,7471.95,26.20
240,7451.14,7451.14,26.20
250,7202.82,7202.82,27.17
260,7313.56,7313.56,26.20
270,7582.80,7582.80,25.28
280,7270.59,7270.59,28.67
290,6549.36,6549.36,29.72
300,7570.75,7570.75,24.83
310,6826.82,6826.82,29.72
320,7462.14,7462.14,26.20
330,7020.64,7020.64,27.66
340,7202.52,7202.52,27.66
350,7645.05,7645.05,25.74
360,6962.29,6962.29,28.67
370,7525.06,7525.06,25.74
380,7833.69,7833.69,23.95
390,7679.40,7679.40,26.68
400,7054.44,7054.44,27.66
410,7119.12,7119.12,29.19
420,7466.82,7466.82,26.68
430,7830.31,7830.31,24.83
440,7720.97,7720.97,24.83
450,7432.66,7432.66,26.68
460,7158.43,7158.43,28.16
470,6541.74,6541.74,30.81
480,6773.90,6773.90,30.26
490,7307.69,7307.69,27.17
500,7013.67,7013.67,28.67
510,6838.82,6838.82,28.16
520,7485.61,7485.61,26.20
530,6598.77,6598.77,29.72
540,7145.91,7145.91,29.19
550,7605.61,7605.61,26.68
560,7210.82,7210.82,28.67
570,6679.60,6679.60,29.72
580,7090.66,7090.66,29.19
590,7604.54,7604.54,25.74
600,6489.60,6489.60,30.26
610,7030.57,7030.57,28.16
620,7106.51,7106.51,27.66
630,6435.22,6435.22,31.94
640,6795.79,6795.79,30.26
650,6868.57,6868.57,29.19
660,7135.03,7135.03,27.66
