timestamp,tps,rows_s,lat_99
70,1086.40,10864.00,193.38
80,1063.10,10631.00,189.93
90,1127.09,11270.90,161.51
100,1179.61,11796.10,147.61
110,1134.29,11342.90,193.38
120,1152.99,11529.90,179.94
130,1131.72,11317.20,176.73
140,1116.29,11162.90,176.73
150,1118.01,11180.10,164.45
160,1082.20,10822.00,170.48
170,1113.80,11138.00,158.63
180,1095.90,10959.00,164.45
190,1123.71,11237.10,153.02
200,1125.60,11256.00,170.48
210,1143.10,11431.00,155.80
220,1141.20,11412.00,158.63
230,1100.30,11003.00,179.94
240,1157.90,11579.00,158.63
250,1101.60,11016.00,200.47
260,1101.70,11017.00,173.58
270,1091.90,10919.00,170.48
280,1107.60,11076.00,164.45
290,1122.50,11225.00,161.51
300,1067.49,10674.90,176.73
310,1125.41,11254.10,153.02
320,1094.50,10945.00,161.51
330,1067.60,10676.00,170.48
340,1083.70,10837.00,170.48
350,1054.70,10547.00,167.44
360,1140.49,11404.90,158.63
370,1111.41,11114.10,161.51
380,1083.00,10830.00,176.73
390,1133.60,11336.00,155.80
400,1090.19,10901.90,183.21
410,1130.20,11302.00,164.45
420,1086.70,10867.00,170.48
430,1107.19,11071.90,183.21
440,1044.81,10448.10,200.47
450,1164.70,11647.00,164.45
460,1074.20,10742.00,200.47
470,1085.60,10856.00,219.36
480,1074.40,10744.00,196.89
490,1069.50,10695.00,196.89
500,1091.20,10912.00,215.44
510,1092.19,10921.90,173.58
520,1094.61,10946.10,207.82
530,1087.00,10870.00,186.54
540,1038.40,10384.00,193.38
550,1085.20,10852.00,173.58
560,1049.79,10497.90,200.47
570,1129.61,11296.10,173.58
580,1103.99,11039.90,173.58
590,1079.31,10793.10,183.21
600,1041.60,10416.00,176.73
610,1123.01,11230.10,167.44
620,1099.70,10997.00,161.51
630,1086.30,10863.00,170.48
640,1172.80,11728.00,161.51
650,1097.30,10973.00,167.44
660,1092.81,10928.10,170.48
