timestamp,tps,rows_s,lat_99
70,7329.65,7329.65,26.68
80,7739.10,7739.10,24.83
90,7550.91,7550.91,26.20
100,7248.23,7248.23,31.94
110,7111.06,7111.06,28.16
120,7311.03,7311.03,29.19
130,7397.78,7397.78,28.16
140,7162.87,7162.87,27.66
150,7588.43,7588.43,24.38
160,7688.32,7688.32,24.83
170,7812.18,7812.18,23.95
180,7148.73,7148.73,28.16
190,7169.57,7169.57,26.68
200,7495.55,7495.55,27.17
210,7596.55,7596.55,25.74
220,7328.64,7328.64,26.20
230,7426.26,7426.26,26.20
240,6742.61,6742.61,28.16
250,7356.89,7356.89,27.17
260,7424.50,7424.50,25.74
270,6833.53,6833.53,28.16
280,6736.09,6736.09,29.19
290,7300.98,7300.98,29.72
300,7594.33,7594.33,25.74
310,7449.02,7449.02,26.68
320,6606.11,6606.11,29.19
330,6781.04,6781.04,29.19
340,7303.30,7303.30,27.17
350,7519.30,7519.30,26.68
360,6662.07,6662.07,29.19
370,7428.46,7428.46,27.66
380,6737.31,6737.31,29.19
390,7104.65,7104.65,27.66
400,7624.99,7624.99,24.83
410,6910.38,6910.38,28.67
420,7382.02,7382.02,25.74
430,7145.39,7145.39,27.17
440,7116.66,7116.66,28.16
450,7432.00,7432.00,27.17
460,6561.97,6561.97,29.72
470,7236.98,7236.98,27.66
480,6872.34,6872.34,27.66
490,7287.63,7287.63,27.17
500,6521.95,6521.95,30.81
510,7293.33,7293.33,26.20
520,6764.12,6764.12,30.81
530,7188.22,7188.22,27.17
540,7049.09,7049.09,29.72
550,7307.61,7307.61,29.19
560,6928.93,6928.93,28.67
570,7319.17,7319.17,27.17
580,7480.10,7480.10,26.68
590,7153.59,7153.59,27.66
600,6505.54,6505.54,30.26
610,7091.67,7091.67,27.66
620,6665.55,6665.55,29.19
630,6872.04,6872.04,29.19
640,6960.04,6960.04,28.67
650,6917.47,6917.47,29.19
660,6588.78,6588.78,30.81
