timestamp,tps,rows_s,lat_99
70,7803.28,7803.28,25.74
80,7849.07,7849.07,23.95
90,7950.15,7950.15,24.83
100,7752.30,7752.30,23.95
110,8010.60,8010.60,23.95
120,7887.99,7887.99,31.37
130,7879.99,7879.99,24.38
140,7994.22,7994.22,23.95
150,7431.64,7431.64,27.66
160,7941.57,7941.57,24.38
170,7902.71,7902.71,24.83
180,7713.03,7713.03,35.59
190,8044.35,8044.35,23.95
200,7705.89,7705.89,25.74
210,7923.77,7923.77,25.28
220,7854.70,7854.70,23.52
230,7617.91,7617.91,25.74
240,7573.61,7573.61,32.53
250,7760.30,7760.30,24.83
260,7985.21,7985.21,23.52
270,7677.91,7677.91,26.68
280,7890.64,7890.64,25.28
290,7773.14,7773.14,24.83
300,7383.19,7383.19,33.72
310,7146.23,7146.23,28.16
320,7552.89,7552.89,26.20
330,7330.28,7330.28,26.68
340,7384.30,7384.30,26.68
350,7795.81,7795.81,25.28
360,7499.10,7499.10,31.94
370,7836.40,7836.40,26.20
380,7214.71,7214.71,27.66
390,7436.28,7436.28,27.17
400,7737.15,7737.15,26.68
410,6899.35,6899.35,28.67
420,7317.90,7317.90,30.26
430,7879.29,7879.29,25.74
440,7504.72,7504.72,26.68
450,7235.17,7235.17,27.66
460,7253.20,7253.20,26.68
470,7972.78,7972.78,25.28
480,7266.83,7266.83,27.66
490,7291.09,7291.09,27.17
500,7304.22,7304.22,27.17
510,7560.60,7560.60,26.20
520,7054.78,7054.78,29.19
530,6672.91,6672.91,30.81
540,7068.39,7068.39,28.67
550,7323.50,7323.50,28.67
560,7764.45,7764.45,26.20
570,6810.22,6810.22,28.67
580,7076.32,7076.32,28.67
590,7028.59,7028.59,27.66
600,6892.91,6892.91,29.19
610,7919.89,7919.89,24.38
620,7000.01,7000.01,29.72
630,6735.51,6735.51,28.16
640,7439.40,7439.40,26.68
650,6873.69,6873.69,35.59
660,7709.03,7709.03,25.28
