timestamp,tps,rows_s,lat_99
70,17995.86,17995.86,5.77
80,17954.77,17954.77,5.28
90,18013.59,18013.59,5.67
100,17955.15,17955.15,5.57
110,18005.69,18005.69,5.77
120,17967.11,17967.11,5.67
130,18016.85,18016.85,5.67
140,17993.66,17993.66,5.47
150,18107.23,18107.23,5.47
160,17990.31,17990.31,5.57
170,18034.03,18034.03,5.99
180,17984.23,17984.23,6.21
190,17953.63,17953.63,5.57
200,18013.97,18013.97,6.09
210,17924.42,17924.42,5.88
220,17939.25,17939.25,5.57
230,18046.40,18046.40,5.77
240,17946.81,17946.81,5.37
250,17980.30,17980.30,5.57
260,18023.04,18023.04,5.88
270,18004.54,18004.54,5.67
280,17929.29,17929.29,5.57
290,17934.06,17934.06,5.57
300,18033.34,18033.34,5.67
310,18046.20,18046.20,5.47
320,17986.23,17986.23,5.88
330,17968.91,17968.91,5.37
340,17979.07,17979.07,5.47
350,18021.90,18021.90,5.57
360,17951.62,17951.62,5.57
370,18028.18,18028.18,5.37
380,17964.32,17964.32,6.43
390,17907.42,17907.42,5.57
400,18082.52,18082.52,5.99
410,17980.97,17980.97,5.67
420,17984.35,17984.35,5.88
430,18032.70,18032.70,6.09
440,18031.25,18031.25,5.67
450,18049.00,18049.00,5.77
460,17977.26,17977.26,5.77
470,18001.99,18001.99,5.57
480,18069.51,18069.51,5.57
490,17983.55,17983.55,6.09
500,17910.17,17910.17,5.57
510,17975.56,17975.56,5.67
520,18030.55,18030.55,5.99
530,17959.19,17959.19,5.99
540,18056.95,18056.95,5.99
550,18016.24,18016.24,6.79
560,17990.97,17990.97,5.77
570,17939.61,17939.61,6.21
580,17978.22,17978.22,5.57
590,18077.13,18077.13,5.77
600,18015.80,18015.80,5.88
610,17993.04,17993.04,90.78
620,17933.22,17933.22,5.57
630,18024.39,18024.39,5.99
640,18012.02,18012.02,5.77
650,17959.31,17959.31,5.57
660,17979.48,17979.48,101.13
