timestamp,tps,rows_s,lat_99
70,17969.82,17969.82,61.08
80,17993.98,17993.98,9.56
90,17957.99,17957.99,7.30
100,18021.74,18021.74,6.91
110,18070.66,18070.66,8.13
120,17991.22,17991.22,6.91
130,18016.79,18016.79,10.46
140,17993.57,17993.57,25.74
150,18021.20,18021.20,10.27
160,18000.09,18000.09,6.91
170,17888.60,17888.60,7.70
180,17946.23,17946.23,7.04
190,17963.69,17963.69,7.17
200,18026.36,18026.36,6.79
210,17916.40,17916.40,6.55
220,17925.45,17925.45,7.17
230,18042.29,18042.29,6.55
240,18023.31,18023.31,6.79
250,18042.53,18042.53,6.67
260,17985.97,17985.97,6.09
270,17951.19,17951.19,6.21
280,17991.32,17991.32,8.43
290,17970.01,17970.01,6.32
300,17971.21,17971.21,6.67
310,17963.73,17963.73,7.30
320,17937.39,17937.39,6.32
330,17988.30,17988.30,7.17
340,18049.01,18049.01,6.55
350,18076.19,18076.19,6.67
360,17951.83,17951.83,6.91
370,18001.64,18001.64,6.43
380,17956.12,17956.12,7.17
390,17952.46,17952.46,7.17
400,17927.51,17927.51,6.21
410,17991.21,17991.21,6.43
420,18001.51,18001.51,7.56
430,17991.35,17991.35,6.55
440,18020.64,18020.64,6.32
450,17986.72,17986.72,6.79
460,17957.15,17957.15,6.55
470,18006.20,18006.20,6.55
480,18014.38,18014.38,6.67
490,17994.42,17994.42,6.67
500,17944.00,17944.00,7.98
510,17910.62,17910.62,31.37
520,18045.32,18045.32,7.98
530,17908.20,17908.20,7.30
540,18027.78,18027.78,6.55
550,17978.80,17978.80,10.84
560,17975.39,17975.39,6.67
570,17972.24,17972.24,6.32
580,18059.38,18059.38,6.55
590,18082.59,18082.59,20.00
600,17923.23,17923.23,7.56
610,18030.10,18030.10,6.55
620,17978.84,17978.84,6.91
630,18006.63,18006.63,7.17
640,17988.54,17988.54,7.84
650,18039.96,18039.96,6.55
660,18055.61,18055.61,6.55
