timestamp,tps,rows_s,lat_99
70,17946.30,17946.30,4.41
80,18040.49,18040.49,4.41
90,17993.52,17993.52,4.57
100,17945.87,17945.87,4.65
110,18017.98,18017.98,4.57
120,17979.76,17979.76,4.65
130,17977.33,17977.33,4.65
140,17958.22,17958.22,4.74
150,17973.87,17973.87,4.65
160,17971.47,17971.47,4.57
170,18027.62,18027.62,4.65
180,17963.62,17963.62,5.00
190,17957.88,17957.88,4.57
200,18046.33,18046.33,4.57
210,18045.89,18045.89,4.65
220,17946.48,17946.48,4.65
230,17996.06,17996.06,4.65
240,17959.63,17959.63,4.65
250,17999.64,17999.64,4.82
260,18036.91,18036.91,81.48
270,18007.48,18007.48,4.57
280,17959.04,17959.04,4.49
290,18016.92,18016.92,4.49
300,17933.71,17933.71,4.57
310,17922.09,17922.09,4.65
320,18027.94,18027.94,4.49
330,17982.39,17982.39,4.65
340,18067.51,18067.51,4.57
350,17982.05,17982.05,4.65
360,17976.85,17976.85,4.57
370,17896.29,17896.29,4.57
380,17920.66,17920.66,4.57
390,17897.07,17897.07,4.49
400,17949.05,17949.05,4.49
410,17922.67,17922.67,4.49
420,17981.86,17981.86,4.49
430,18051.70,18051.70,4.41
440,17986.44,17986.44,4.65
450,17945.56,17945.56,4.82
460,18006.71,18006.71,4.49
470,18012.96,18012.96,4.41
480,17955.55,17955.55,4.57
490,17979.49,17979.49,4.65
500,17960.93,17960.93,4.57
510,18071.02,18071.02,4.57
520,17940.96,17940.96,5.37
530,17944.03,17944.03,4.74
540,18047.38,18047.38,4.65
550,18017.37,18017.37,86.00
560,18063.45,18063.45,4.49
570,17979.88,17979.88,4.57
580,17961.81,17961.81,4.65
590,17937.21,17937.21,4.57
600,18012.78,18012.78,4.49
610,17972.47,17972.47,4.49
620,18013.26,18013.26,4.57
630,18046.50,18046.50,4.49
640,17963.75,17963.75,4.91
650,18043.16,18043.16,4.57
660,17955.24,17955.24,4.82
