timestamp,tps,rows_s,lat_99
70,18007.34,18007.34,5.37
80,18045.36,18045.36,5.47
90,17956.39,17956.39,5.28
100,18035.48,18035.48,5.37
110,17967.30,17967.30,5.28
120,18012.69,18012.69,5.37
130,17915.87,17915.87,5.37
140,17997.05,17997.05,5.37
150,17946.85,17946.85,5.37
160,17973.09,17973.09,5.37
170,18068.57,18068.57,5.37
180,17952.25,17952.25,5.57
190,17987.20,17987.20,5.57
200,18053.20,18053.20,102.97
210,17991.49,17991.49,5.67
220,18074.09,18074.09,5.47
230,17985.51,17985.51,5.37
240,17997.82,17997.82,5.37
250,18020.96,18020.96,5.37
260,18007.83,18007.83,5.47
270,18071.30,18071.30,5.37
280,17993.05,17993.05,5.28
290,18001.77,18001.77,5.28
300,17992.68,17992.68,5.47
310,18048.52,18048.52,5.47
320,17954.77,17954.77,5.18
330,18008.54,18008.54,5.37
340,17977.52,17977.52,5.47
350,17943.94,17943.94,5.57
360,17962.38,17962.38,5.47
370,15980.70,15980.70,1280.93
380,20031.12,20031.12,1089.30
390,18025.34,18025.34,5.47
400,17882.47,17882.47,5.28
410,18019.81,18019.81,5.47
420,17978.00,17978.00,5.37
430,18077.87,18077.87,5.37
440,18059.12,18059.12,5.47
450,18039.54,18039.54,5.37
460,18015.16,18015.16,5.37
470,17972.79,17972.79,5.37
480,17997.63,17997.63,5.28
490,17984.74,17984.74,5.37
500,18000.77,18000.77,5.28
510,17973.59,17973.59,5.28
520,17985.91,17985.91,5.18
530,18031.80,18031.80,5.28
540,18019.75,18019.75,5.28
550,17977.64,17977.64,5.57
560,18058.50,18058.50,5.28
570,17993.76,17993.76,5.37
580,18020.30,18020.30,5.47
590,18039.45,18039.45,5.28
600,18006.83,18006.83,5.18
610,17993.79,17993.79,5.28
620,17904.47,17904.47,5.28
630,17925.02,17925.02,5.18
640,18057.96,18057.96,5.47
650,17988.62,17988.62,5.28
660,17984.60,17984.60,5.37
