timestamp,tps,rows_s,lat_99
70,18038.35,18038.35,5.28
80,18020.22,18020.22,6.09
90,18010.15,18010.15,5.77
100,17989.61,17989.61,5.99
110,18026.90,18026.90,5.47
120,18067.09,18067.09,5.18
130,17991.74,17991.74,5.67
140,17973.24,17973.24,5.77
150,18028.76,18028.76,5.57
160,17929.95,17929.95,5.57
170,18002.01,18002.01,5.47
180,18003.97,18003.97,5.28
190,18006.99,18006.99,5.77
200,18031.23,18031.23,5.77
210,17943.99,17943.99,5.67
220,17994.89,17994.89,5.67
230,18013.94,18013.94,5.99
240,17945.30,17945.30,5.28
250,18015.87,18015.87,5.47
260,18016.12,18016.12,5.47
270,17947.76,17947.76,5.37
280,18017.55,18017.55,5.57
290,17945.88,17945.88,5.37
300,17953.14,17953.14,5.47
310,18070.13,18070.13,5.88
320,17984.58,17984.58,5.47
330,17980.57,17980.57,5.47
340,17992.89,17992.89,5.67
350,18016.46,18016.46,5.47
360,17995.96,17995.96,5.47
370,17932.07,17932.07,5.57
380,17975.98,17975.98,5.47
390,18002.37,18002.37,5.77
400,18020.22,18020.22,6.55
410,18023.41,18023.41,5.57
420,17994.41,17994.41,5.57
430,17992.94,17992.94,5.47
440,18032.07,18032.07,5.47
450,17949.77,17949.77,5.57
460,17939.14,17939.14,5.37
470,18013.68,18013.68,5.67
480,18053.67,18053.67,5.99
490,17977.91,17977.91,5.47
500,17900.74,17900.74,5.57
510,18005.26,18005.26,5.57
520,17906.33,17906.33,5.47
530,18014.58,18014.58,5.47
540,18008.86,18008.86,6.09
550,18083.50,18083.50,5.57
560,18037.15,18037.15,5.57
570,18066.98,18066.98,6.43
580,18047.25,18047.25,5.47
590,18039.50,18039.50,5.77
600,18022.43,18022.43,5.47
610,17983.93,17983.93,5.57
620,18013.49,18013.49,5.77
630,17959.45,17959.45,6.55
640,18047.14,18047.14,5.67
650,18005.78,18005.78,5.88
660,17970.05,17970.05,6.21
