timestamp,tps,rows_s,lat_99
70,18089.36,18089.36,6.21
80,17978.69,17978.69,5.99
90,18047.80,18047.80,5.57
100,18027.30,18027.30,5.37
110,17965.76,17965.76,5.09
120,17891.59,17891.59,5.57
130,18017.36,18017.36,5.28
140,17994.22,17994.22,5.47
150,17996.28,17996.28,5.57
160,17988.48,17988.48,5.47
170,17973.63,17973.63,5.77
180,17990.92,17990.92,5.37
190,17990.23,17990.23,5.47
200,18023.73,18023.73,5.88
210,17969.10,17969.10,5.37
220,18081.45,18081.45,5.57
230,17985.79,17985.79,5.57
240,18031.45,18031.45,5.47
250,17939.72,17939.72,5.37
260,18020.45,18020.45,5.47
270,17978.20,17978.20,5.28
280,18015.66,18015.66,5.37
290,17982.24,17982.24,5.57
300,18029.63,18029.63,5.28
310,17999.74,17999.74,5.28
320,17986.03,17986.03,5.88
330,17992.71,17992.71,5.57
340,18012.86,18012.86,5.77
350,18085.96,18085.96,6.43
360,17929.64,17929.64,5.47
370,18032.84,18032.84,5.88
380,17977.03,17977.03,5.37
390,17991.15,17991.15,6.09
400,17976.13,17976.13,5.99
410,18065.64,18065.64,5.57
420,18026.38,18026.38,5.57
430,17997.36,17997.36,5.99
440,18014.11,18014.11,5.47
450,18045.75,18045.75,5.77
460,18014.34,18014.34,7.04
470,17969.03,17969.03,5.47
480,17988.59,17988.59,6.09
490,17985.96,17985.96,5.57
500,17960.45,17960.45,5.47
510,17985.11,17985.11,5.99
520,17950.46,17950.46,5.37
530,17938.82,17938.82,5.37
540,17962.26,17962.26,5.99
550,17975.16,17975.16,6.67
560,18017.95,18017.95,5.47
570,18005.99,18005.99,6.21
580,18029.08,18029.08,5.77
590,18049.50,18049.50,5.47
600,18070.85,18070.85,5.57
610,18033.34,18033.34,5.47
620,18004.05,18004.05,5.99
630,17971.15,17971.15,5.47
640,18025.40,18025.40,5.88
650,17922.21,17922.21,5.77
660,18055.10,18055.10,5.47
